Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2018-09-03","3,274","20,908","9.06","24","537","394","42","53","2,152"
"2018-09-04","2,384","9,466","4.1","4","713","242","23","1","1,051"
"2018-09-05","2,883","14,519","6.29","17","475","384","26","7","1,665"
"2018-09-06","2,694","11,144","4.83","14","652","366","16","5","1,448"
"2018-09-07","2,843","17,090","7.4","9","588","192","96","42","1,580"
"2018-09-08","2,468","10,204","4.42","15","662","247","26","18","1,162"
"2018-09-09","2,116","5,473","2.37","5","759","148","20","8","689"
"2018-09-10","2,584","11,823","5.12","24","550","253","41","4","1,275"
"2018-09-11","3,104","20,649","8.9","21","573","315","54","55","1,926"
"2018-09-12","2,916","14,744","6.38","16","628","335","19","28","1,659"
"2018-09-13","3,195","16,291","6.94","22","515","337","65","49","2,013"
"2018-09-14","2,644","12,337","5.34","33","652","284","24","6","1,359"
"2018-09-15","2,524","11,502","4.8","14","612","273","13","6","1,204"
"2018-09-16","2,940","15,441","6.69","56","539","385","23","11","1,737"
"2018-09-17","3,325","18,755","7.99","37","459","299","76","67","2,167"
"2018-09-18","2,209","6,269","2.72","6","756","182","13","6","805"
"2018-09-19","1,707","1,551","0.67","3","905","29","9","2","163"
"2018-09-20","2,512","10,388","4.5","20","639","234","23","10","1,166"
"2018-09-21","2,258","7,106","3.08","6","736","158","41","8","890"
"2018-09-22","3,020","18,678","8.09","49","626","302","55","51","1,813"
"2018-09-23","2,715","14,961","6.48","27","689","242","55","16","1,421"
"2018-09-24","2,524","12,327","5.34","19","614","265","19","11","1,224"
"2018-09-25","1,825","2,852","1.24","5","984","50","6","7","295"
"2018-09-26","3,039","17,468","7.57","22","479","364","42","27","1,881"
"2018-09-27","2,203","9,019","3.91","11","747","106","43","21","799"
"2018-09-28","1,718","1,426","0.62","2","777","44","0","0","176"
"2018-09-29","2,330","8,916","3.89","13","705","240","0","0","973"
"2018-09-30","2,103","5,428","2.35","5","749","180","10","2","692"
"2018-10-01","3,265","21,625","9.39","33","443","366","85","20","2,119"
"2018-10-02","2,791","14,256","6.17","28","593","263","41","25","1,505"
"2018-10-03","1,062","687","0.3","1","364","22","0","0","78"

Sleep
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2018-10-03 12:10AM","2018-10-03 8:58AM","458","70","30","528","103","330","25"
"2018-10-02 12:10AM","2018-10-02 8:49AM","461","57","41","518","104","318","39"
"2018-10-01 12:06AM","2018-10-01 8:52AM","476","50","40","526","119","297","60"
"2018-09-29 11:54PM","2018-09-30 8:13AM","437","62","41","499","107","282","48"
"2018-09-29 12:40AM","2018-09-29 8:55AM","438","57","36","495","88","267","83"
"2018-09-28 12:14AM","2018-09-28 10:33AM","523","96","42","619","120","366","37"
"2018-09-26 11:58PM","2018-09-27 8:41AM","461","62","37","523","117","270","74"
"2018-09-25 11:49PM","2018-09-26 8:37AM","473","55","38","528","94","312","67"
"2018-09-25 2:09AM","2018-09-25 8:42AM","329","64","23","393","46","262","21"
"2018-09-23 11:44PM","2018-09-24 8:36AM","470","61","35","531","116","293","61"
"2018-09-23 12:29AM","2018-09-23 7:47AM","380","58","32","438","100","251","29"
"2018-09-22 12:27AM","2018-09-22 7:13AM","363","43","29","406","62","235","66"
"2018-09-21 12:20AM","2018-09-21 8:37AM","440","57","42","497","98","291","51"
"2018-09-20 12:07AM","2018-09-20 9:02AM","456","78","47","534","181","213","62"
"2018-09-18 11:59PM","2018-09-19 8:14AM","422","73","39","495","92","293","37"
"2018-09-17 11:38PM","2018-09-18 7:41AM","413","70","32","483","110","253","50"
"2018-09-16 10:48PM","2018-09-17 7:47AM","467","72","44","539","94","305","68"
"2018-09-15 11:55PM","2018-09-16 7:58AM","420","62","39","482","93","280","47"
"2018-09-14 11:33PM","2018-09-15 8:29AM","468","68","45","536","106","318","44"
"2018-09-14 12:37AM","2018-09-14 8:31AM","430","44","31","474","118","271","41"
"2018-09-12 11:16PM","2018-09-13 7:10AM","423","51","35","474","101","268","54"
"2018-09-11 10:49PM","2018-09-12 5:59AM","383","47","33","430","104","231","48"
"2018-09-11 12:23AM","2018-09-11 7:46AM","379","64","30","443","73","255","51"
"2018-09-09 11:06PM","2018-09-10 8:58AM","524","68","49","592","125","339","60"
"2018-09-08 11:15PM","2018-09-09 7:41AM","424","81","38","505","97","287","40"
"2018-09-08 1:55AM","2018-09-08 10:02AM","425","62","34","487","76","313","36"
"2018-09-07 12:17AM","2018-09-07 8:59AM","449","73","46","522","73","338","38"
"2018-09-06 1:54AM","2018-09-06 8:35AM","349","52","35","401","81","220","48"
"2018-09-04 11:35PM","2018-09-05 8:43AM","485","63","50","548","124","292","69"
"2018-09-04 12:33AM","2018-09-04 8:15AM","409","52","30","461","100","249","60"
"2018-09-03 1:35AM","2018-09-03 8:30AM","357","57","26","414","106","222","29"

